,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score,cycle phases
0,83.0,86.0,70.0,100.0,76.0,85.0,75.0,83.0,29130.0,35340.0,6210.0,5190.0,7410.0,16530.0,21.0,82.0,390.0,15540.0,56.82,51.0,76.0,0.19,0.43,14.875,63.0,83.0,78.0,1.0,71.0,73.0,255.0,1927.0,6537.0,5170.0,28980.0,31320.0,11460.0,2340.0,60.0,12240.0,1.375,2.0,88.0,74.0,100.0,96.0,97.0,88.0,72.0,79.0,100.0,LP
1,84.0,89.0,93.0,100.0,76.0,77.0,72.0,67.0,30000.0,36720.0,6720.0,6930.0,10920.0,12150.0,22.0,82.0,300.0,17370.0,59.93,52.0,61.0,0.31,0.43,14.875,61.0,62.0,95.0,1.0,71.0,65.0,154.0,1874.0,4179.0,2691.0,35640.0,15900.0,14820.0,360.0,0.0,19680.0,1.34375,1.0,86.0,77.0,100.0,93.0,97.0,78.0,64.0,70.0,100.0,LP
2,82.0,78.0,68.0,98.0,88.0,88.0,78.0,83.0,27000.0,31080.0,4080.0,5070.0,13980.0,7950.0,20.0,87.0,420.0,14880.0,61.83,54.0,73.0,0.44,0.51,15.0,79.0,88.0,100.0,25.0,100.0,95.0,357.0,2030.0,9498.0,8214.0,26640.0,32100.0,11700.0,3840.0,240.0,11880.0,1.4375,0.0,68.0,73.0,94.0,90.0,98.0,67.0,48.0,72.0,68.0,LP
3,83.0,74.0,79.0,100.0,99.0,91.0,78.0,82.0,26010.0,27720.0,1710.0,5850.0,7560.0,12600.0,19.0,94.0,420.0,14130.0,56.04,51.0,93.0,0.34,0.56,15.125,76.0,83.0,95.0,25.0,96.0,90.0,122.0,1774.0,3311.0,2594.0,31380.0,26400.0,8460.0,420.0,0.0,19740.0,1.28125,1.0,81.0,75.0,88.0,86.0,97.0,76.0,74.0,84.0,53.0,LP
4,80.0,82.0,59.0,100.0,65.0,75.0,97.0,77.0,28170.0,36480.0,8310.0,4440.0,11580.0,12150.0,27.0,77.0,840.0,18270.0,55.72,50.0,93.0,0.36,0.56,15.625,73.0,65.0,100.0,25.0,96.0,84.0,263.0,1947.0,6920.0,5826.0,35700.0,35400.0,13140.0,2040.0,120.0,0.0,1.375,0.0,87.0,68.0,87.0,95.0,98.0,75.0,82.0,88.0,100.0,LP
5,88.0,94.0,91.0,100.0,65.0,84.0,94.0,76.0,31080.0,40620.0,9540.0,6780.0,12690.0,11610.0,24.0,77.0,1020.0,17910.0,55.53,49.0,86.0,0.07,0.44,14.625,73.0,71.0,95.0,25.0,96.0,79.0,156.0,1784.0,3990.0,3405.0,34800.0,32400.0,9480.0,840.0,0.0,8880.0,1.25,1.0,91.0,89.0,90.0,85.0,98.0,99.0,91.0,89.0,100.0,LP
6,90.0,90.0,94.0,100.0,100.0,99.0,64.0,78.0,30150.0,30840.0,690.0,7020.0,9540.0,13590.0,20.0,98.0,150.0,15300.0,53.62,48.0,88.0,-0.05,0.28,14.375,76.0,77.0,100.0,25.0,96.0,88.0,365.0,2058.0,9009.0,8168.0,32220.0,31440.0,16140.0,2880.0,60.0,3660.0,1.46875,0.0,95.0,94.0,92.0,93.0,100.0,100.0,99.0,91.0,100.0,M
7,80.0,61.0,62.0,100.0,98.0,93.0,89.0,100.0,22740.0,24360.0,1620.0,4620.0,7290.0,10830.0,18.0,93.0,660.0,12180.0,51.66,47.0,96.0,-0.31,0.07,14.5,73.0,66.0,100.0,25.0,96.0,83.0,285.0,2004.0,7308.0,6138.0,37200.0,26880.0,18900.0,1440.0,60.0,1920.0,1.4375,0.0,83.0,68.0,82.0,83.0,93.0,94.0,100.0,93.0,54.0,M
8,91.0,95.0,84.0,100.0,97.0,90.0,91.0,75.0,31500.0,34320.0,2820.0,6210.0,13830.0,11460.0,17.0,92.0,1050.0,17220.0,51.97,47.0,95.0,-0.15,0.0,14.25,78.0,92.0,95.0,25.0,96.0,95.0,356.0,2018.0,8213.0,8237.0,24660.0,39780.0,15540.0,3720.0,60.0,2640.0,1.40625,1.0,93.0,97.0,86.0,83.0,92.0,100.0,100.0,94.0,100.0,M
9,96.0,100.0,95.0,100.0,99.0,81.0,91.0,100.0,35790.0,38220.0,2430.0,7260.0,15360.0,13170.0,20.0,94.0,1050.0,19560.0,51.2,44.0,97.0,0.0,0.07,14.5,66.0,96.0,100.0,1.0,71.0,88.0,125.0,1730.0,3248.0,2688.0,22320.0,28920.0,6540.0,900.0,60.0,27660.0,1.21875,0.0,91.0,100.0,96.0,91.0,86.0,100.0,93.0,95.0,65.0,M
10,91.0,93.0,96.0,100.0,96.0,92.0,86.0,70.0,31020.0,34080.0,3060.0,7350.0,11580.0,12090.0,22.0,91.0,1200.0,17640.0,55.75,49.0,82.0,0.01,0.16,15.0,67.0,86.0,95.0,1.0,71.0,86.0,227.0,1874.0,5822.0,5307.0,28260.0,33120.0,11160.0,1500.0,0.0,12360.0,1.3125,1.0,93.0,96.0,99.0,98.0,91.0,100.0,88.0,94.0,77.0,FP
11,76.0,70.0,50.0,100.0,81.0,81.0,72.0,89.0,24960.0,29760.0,4800.0,3780.0,8670.0,12510.0,21.0,84.0,1500.0,16350.0,48.89,45.0,118.0,-0.43,0.02,14.0,65.0,76.0,78.0,1.0,71.0,89.0,278.0,1960.0,7693.0,6379.0,32940.0,32580.0,12660.0,2280.0,0.0,5940.0,1.375,2.0,88.0,58.0,91.0,94.0,92.0,90.0,98.0,98.0,89.0,FP
12,84.0,98.0,96.0,100.0,27.0,87.0,67.0,77.0,32580.0,53640.0,21060.0,7380.0,16140.0,9060.0,24.0,61.0,1590.0,32430.0,56.16,47.0,90.0,-0.06,-0.01,15.0,73.0,95.0,100.0,1.0,96.0,95.0,418.0,2131.0,10286.0,9422.0,24240.0,35220.0,24300.0,2580.0,60.0,0.0,1.5,0.0,93.0,78.0,96.0,87.0,90.0,100.0,100.0,97.0,100.0,FP
13,78.0,54.0,49.0,100.0,98.0,97.0,97.0,100.0,20790.0,22320.0,1530.0,3660.0,4980.0,12150.0,20.0,93.0,930.0,11220.0,55.38,49.0,81.0,-0.18,0.0,14.625,65.0,68.0,95.0,1.0,71.0,95.0,346.0,2074.0,9067.0,7541.0,36420.0,27360.0,20640.0,1980.0,0.0,0.0,1.46875,1.0,84.0,64.0,84.0,87.0,83.0,99.0,86.0,96.0,88.0,FP
14,94.0,99.0,99.0,100.0,97.0,95.0,75.0,80.0,32940.0,35700.0,2760.0,8640.0,15240.0,9060.0,24.0,92.0,390.0,16980.0,55.83,49.0,72.0,0.03,0.1,14.5,65.0,82.0,95.0,1.0,71.0,95.0,302.0,1982.0,7757.0,6892.0,28380.0,36180.0,17100.0,1800.0,0.0,2940.0,1.40625,1.0,90.0,100.0,89.0,80.0,81.0,100.0,86.0,93.0,100.0,FP
