date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-10-22,81,100,94,96,96,56,67,23,33000,36300,3300,6720,20130,6150,46,91,210,18030,2022-10-22T00:34:01+03:00,2022-10-22T10:39:01+03:00,64.44,57.0,50,-0.1,0.0,17.375,88,83,100,100,100,100,817,2870,17248,16245,30480,23940,24720,6420,840,0,1.78125,0,88,82,99,74,64,100,100,83,100
2022-10-23,43,30,15,93,60,55,75,3,14220,19080,4860,1140,7680,5400,39,75,360,9090,2022-10-23T05:04:02+03:00,2022-10-23T10:22:02+03:00,84.9,71.0,22,0.1,0.08,17.25,None,None,None,None,None,None,361,2237,7241,7461,23400,41640,12300,3420,0,5640,1.375,0,54,None,76,45,61,96,1,57,75
2022-10-25,77,81,40,98,98,59,64,100,27090,28980,1890,2910,16740,7440,43,93,150,14490,2022-10-24T21:18:02+03:00,2022-10-25T05:21:02+03:00,62.24,57.0,54,0.1,0.21,17.25,None,None,None,None,None,None,780,2828,16299,15706,29160,20580,28860,5760,480,1560,1.75,0,76,72,66,None,None,97,100,61,74
2022-10-26,85,86,83,95,97,63,97,79,28440,30900,2460,5910,17040,5490,42,92,840,15570,2022-10-25T23:21:39+03:00,2022-10-26T07:56:39+03:00,73.35,60.0,28,0,0.16,17.75,None,None,None,None,None,None,706,2699,15767,14142,23580,33540,22500,6480,300,0,1.65625,0,64,92,63,None,None,100,76,44,30
2022-10-27,86,91,68,100,99,65,75,100,29820,31560,1740,4830,14760,10230,36,94,390,15750,2022-10-26T22:28:22+03:00,2022-10-27T07:14:22+03:00,63.62,58.0,51,-0.24,0.03,17.625,91,85,100,78,100,99,348,2265,7179,6820,28500,38580,13920,2700,120,2580,1.375,0,72,94,63,None,None,97,95,50,53
2022-10-28,85,100,99,100,79,55,67,69,43290,52080,8790,8370,24690,10230,43,83,210,24990,2022-10-27T21:03:00+03:00,2022-10-28T11:31:00+03:00,62.86,56.0,58,0.0,0.01,17.125,86,76,95,60,100,98,231,2094,5212,4586,32700,41040,11220,1440,0,0,1.28125,1,83,92,81,99,75,100,100,63,100
2022-10-29,84,100,96,98,99,52,75,49,34800,37140,2340,7170,19800,7830,52,94,360,18270,2022-10-28T23:36:38+03:00,2022-10-29T09:55:38+03:00,65.45,59.0,50,-0.05,0.04,17.875,84,100,95,43,96,96,55,1850,1036,1052,12420,36600,3240,300,0,33840,1.15625,1,82,89,87,100,81,100,84,67,100
2022-10-30,89,100,86,100,99,68,97,59,34950,37020,2070,6150,19470,9330,48,94,840,18780,2022-10-29T23:07:15+02:00,2022-10-30T09:24:15+02:00,66.18,59.0,50,0.0,0.09,17.5,89,96,100,60,100,97,542,2453,11355,11192,22260,39840,16980,4920,60,2340,1.5,0,82,100,92,None,90,100,84,72,73
2022-10-31,83,89,90,95,93,54,72,92,29250,32700,3450,6420,17160,5670,44,89,330,16350,2022-10-30T22:41:27+02:00,2022-10-31T07:46:27+02:00,76.26,60.0,32,-0.17,0.03,16.875,92,87,100,78,100,97,471,2430,9827,9126,27480,35400,17460,3960,60,2040,1.5,0,76,86,89,96,89,99,74,61,16
2022-11-01,90,96,96,98,74,68,91,100,31020,38400,7380,6990,16680,7350,40,81,1050,17970,2022-10-31T21:42:39+02:00,2022-11-01T08:22:39+02:00,66.32,61.0,48,0.1,0.08,17.25,90,79,100,78,100,97,507,2486,12579,10569,30780,30660,20880,3960,120,0,1.53125,0,85,100,88,93,89,96,65,65,100
